# degree-percentile buckets, k=5, 100 per bucket, seed=42
# graph: 5241 vertices, 14484 edges, max core 43
# vertex,k,bucket
15175,5,p40_50
25304,5,p40_50
23513,5,p40_50
5659,5,p40_50
8595,5,p40_50
7584,5,p40_50
25957,5,p40_50
16213,5,p40_50
7024,5,p40_50
2215,5,p40_50
6648,5,p40_50
2982,5,p40_50
782,5,p40_50
15160,5,p40_50
4081,5,p40_50
13625,5,p40_50
25159,5,p40_50
13615,5,p40_50
2566,5,p40_50
4319,5,p40_50
3291,5,p40_50
1150,5,p40_50
5469,5,p40_50
12637,5,p40_50
7072,5,p40_50
10805,5,p40_50
3654,5,p40_50
8449,5,p40_50
12287,5,p40_50
9312,5,p40_50
6888,5,p40_50
16177,5,p40_50
9769,5,p40_50
12318,5,p40_50
7449,5,p40_50
3507,5,p40_50
9634,5,p40_50
26141,5,p40_50
13493,5,p40_50
834,5,p40_50
15668,5,p40_50
253,5,p40_50
13802,5,p40_50
26178,5,p40_50
11426,5,p40_50
15082,5,p40_50
1109,5,p40_50
3059,5,p40_50
3286,5,p40_50
8374,5,p40_50
2075,5,p40_50
10925,5,p40_50
4033,5,p40_50
2001,5,p40_50
10435,5,p40_50
8888,5,p40_50
12860,5,p40_50
16353,5,p40_50
6642,5,p40_50
6530,5,p40_50
2720,5,p40_50
12758,5,p40_50
24699,5,p40_50
25729,5,p40_50
13683,5,p40_50
5227,5,p40_50
12512,5,p40_50
3102,5,p40_50
24578,5,p40_50
23429,5,p40_50
3964,5,p40_50
11792,5,p40_50
778,5,p40_50
9018,5,p40_50
16608,5,p40_50
1248,5,p40_50
11227,5,p40_50
5485,5,p40_50
7247,5,p40_50
10842,5,p40_50
5267,5,p40_50
7523,5,p40_50
15666,5,p40_50
179,5,p40_50
25354,5,p40_50
21032,5,p50_60
17467,5,p50_60
1430,5,p50_60
20952,5,p50_60
2666,5,p50_60
20421,5,p50_60
17800,5,p50_60
115,5,p50_60
1323,5,p50_60
17739,5,p50_60
1092,5,p50_60
22831,5,p50_60
24204,5,p50_60
580,5,p50_60
18037,5,p50_60
21779,5,p50_60
1878,5,p50_60
25528,5,p50_60
2991,5,p50_60
2852,5,p50_60
22721,5,p50_60
4038,5,p50_60
142,5,p50_60
1621,5,p50_60
18745,5,p50_60
3553,5,p50_60
3684,5,p50_60
20089,5,p50_60
2783,5,p50_60
18973,5,p50_60
1985,5,p50_60
2076,5,p50_60
19206,5,p50_60
2984,5,p50_60
22734,5,p50_60
16900,5,p50_60
19207,5,p50_60
1427,5,p50_60
4144,5,p50_60
21613,5,p50_60
1897,5,p50_60
4037,5,p50_60
22730,5,p50_60
2003,5,p50_60
677,5,p50_60
4032,5,p50_60
1405,5,p50_60
4018,5,p50_60
20335,5,p50_60
20547,5,p50_60
18764,5,p50_60
1959,5,p50_60
938,5,p50_60
18091,5,p50_60
22309,5,p50_60
2851,5,p50_60
17125,5,p50_60
2656,5,p50_60
23559,5,p50_60
19724,5,p50_60
19520,5,p50_60
2201,5,p50_60
23464,5,p50_60
21772,5,p50_60
21158,5,p50_60
2298,5,p50_60
1969,5,p50_60
3450,5,p50_60
19956,5,p50_60
19800,5,p50_60
3967,5,p50_60
510,5,p50_60
19440,5,p50_60
22507,5,p50_60
21587,5,p50_60
20702,5,p50_60
3718,5,p50_60
17465,5,p50_60
1838,5,p50_60
2883,5,p50_60
3206,5,p50_60
302,5,p50_60
24454,5,p50_60
2926,5,p50_60
820,5,p50_60
2485,5,p50_60
25116,5,p50_60
21592,5,p50_60
16940,5,p50_60
18158,5,p50_60
20519,5,p50_60
3965,5,p50_60
25718,5,p50_60
20543,5,p50_60
3449,5,p50_60
3511,5,p50_60
26130,5,p50_60
23092,5,p50_60
21705,5,p50_60
4380,5,p50_60
12260,5,p60_70
15973,5,p60_70
7511,5,p60_70
14550,5,p60_70
9194,5,p60_70
10824,5,p60_70
5446,5,p60_70
17563,5,p60_70
4641,5,p60_70
9392,5,p60_70
13971,5,p60_70
15899,5,p60_70
6031,5,p60_70
16835,5,p60_70
12691,5,p60_70
16545,5,p60_70
8629,5,p60_70
12193,5,p60_70
8457,5,p60_70
12679,5,p60_70
15657,5,p60_70
5830,5,p60_70
13651,5,p60_70
16235,5,p60_70
8301,5,p60_70
10822,5,p60_70
8442,5,p60_70
12703,5,p60_70
9518,5,p60_70
8530,5,p60_70
9485,5,p60_70
13334,5,p60_70
8219,5,p60_70
11410,5,p60_70
5839,5,p60_70
6908,5,p60_70
9717,5,p60_70
17291,5,p60_70
16802,5,p60_70
17464,5,p60_70
12797,5,p60_70
14324,5,p60_70
16266,5,p60_70
6737,5,p60_70
12112,5,p60_70
11612,5,p60_70
8352,5,p60_70
9504,5,p60_70
11285,5,p60_70
15409,5,p60_70
4635,5,p60_70
8387,5,p60_70
8150,5,p60_70
7095,5,p60_70
9863,5,p60_70
14628,5,p60_70
11638,5,p60_70
12043,5,p60_70
12616,5,p60_70
8513,5,p60_70
10388,5,p60_70
9980,5,p60_70
17294,5,p60_70
12763,5,p60_70
7109,5,p60_70
10825,5,p60_70
10438,5,p60_70
14868,5,p60_70
14894,5,p60_70
14170,5,p60_70
6513,5,p60_70
12639,5,p60_70
5444,5,p60_70
8118,5,p60_70
10880,5,p60_70
17235,5,p60_70
12307,5,p60_70
12122,5,p60_70
8704,5,p60_70
5481,5,p60_70
15247,5,p60_70
14325,5,p60_70
7579,5,p60_70
12743,5,p60_70
17126,5,p60_70
7386,5,p60_70
15161,5,p60_70
7014,5,p60_70
6170,5,p60_70
4826,5,p60_70
5087,5,p60_70
7632,5,p60_70
10445,5,p60_70
12071,5,p60_70
14543,5,p60_70
5268,5,p60_70
10178,5,p60_70
9631,5,p60_70
12290,5,p60_70
11626,5,p60_70
21635,5,p70_80
294,5,p70_80
2803,5,p70_80
734,5,p70_80
22848,5,p70_80
20779,5,p70_80
17729,5,p70_80
20106,5,p70_80
1347,5,p70_80
22394,5,p70_80
21333,5,p70_80
2203,5,p70_80
18746,5,p70_80
23950,5,p70_80
20319,5,p70_80
2120,5,p70_80
1346,5,p70_80
19011,5,p70_80
22599,5,p70_80
19184,5,p70_80
735,5,p70_80
22696,5,p70_80
25599,5,p70_80
23490,5,p70_80
23968,5,p70_80
24463,5,p70_80
20953,5,p70_80
2356,5,p70_80
123,5,p70_80
1862,5,p70_80
22436,5,p70_80
24944,5,p70_80
864,5,p70_80
26067,5,p70_80
2561,5,p70_80
23137,5,p70_80
22239,5,p70_80
1075,5,p70_80
2059,5,p70_80
23786,5,p70_80
22503,5,p70_80
1915,5,p70_80
19507,5,p70_80
71,5,p70_80
1551,5,p70_80
22765,5,p70_80
22530,5,p70_80
20434,5,p70_80
98,5,p70_80
20309,5,p70_80
1187,5,p70_80
25251,5,p70_80
20553,5,p70_80
284,5,p70_80
375,5,p70_80
23387,5,p70_80
22832,5,p70_80
25138,5,p70_80
20253,5,p70_80
20538,5,p70_80
22404,5,p70_80
18580,5,p70_80
26021,5,p70_80
20616,5,p70_80
20229,5,p70_80
20537,5,p70_80
21167,5,p70_80
20954,5,p70_80
23757,5,p70_80
18596,5,p70_80
19219,5,p70_80
19464,5,p70_80
20215,5,p70_80
21596,5,p70_80
25877,5,p70_80
19466,5,p70_80
25977,5,p70_80
3074,5,p70_80
18383,5,p70_80
22048,5,p70_80
21814,5,p70_80
21154,5,p70_80
23758,5,p70_80
22720,5,p70_80
1561,5,p70_80
18338,5,p70_80
20008,5,p70_80
1105,5,p70_80
22109,5,p70_80
3186,5,p70_80
315,5,p70_80
24250,5,p70_80
25891,5,p70_80
17854,5,p70_80
254,5,p70_80
24163,5,p70_80
21563,5,p70_80
22791,5,p70_80
17599,5,p70_80
3067,5,p70_80
9895,5,p80_90
11971,5,p80_90
12798,5,p80_90
8302,5,p80_90
14664,5,p80_90
8299,5,p80_90
9133,5,p80_90
13321,5,p80_90
14619,5,p80_90
3946,5,p80_90
11968,5,p80_90
10763,5,p80_90
12473,5,p80_90
11579,5,p80_90
5231,5,p80_90
12852,5,p80_90
8504,5,p80_90
13815,5,p80_90
4625,5,p80_90
14763,5,p80_90
10158,5,p80_90
9039,5,p80_90
3532,5,p80_90
13675,5,p80_90
7647,5,p80_90
9890,5,p80_90
9337,5,p80_90
10559,5,p80_90
14711,5,p80_90
4181,5,p80_90
10433,5,p80_90
8179,5,p80_90
4643,5,p80_90
13202,5,p80_90
8452,5,p80_90
5387,5,p80_90
3851,5,p80_90
6161,5,p80_90
7588,5,p80_90
6832,5,p80_90
5545,5,p80_90
8400,5,p80_90
14182,5,p80_90
6919,5,p80_90
11892,5,p80_90
13413,5,p80_90
14338,5,p80_90
6354,5,p80_90
11842,5,p80_90
12704,5,p80_90
8146,5,p80_90
6072,5,p80_90
12749,5,p80_90
4128,5,p80_90
8534,5,p80_90
3383,5,p80_90
11828,5,p80_90
9094,5,p80_90
3853,5,p80_90
7103,5,p80_90
5661,5,p80_90
10478,5,p80_90
4027,5,p80_90
15206,5,p80_90
10497,5,p80_90
3819,5,p80_90
11865,5,p80_90
3631,5,p80_90
5853,5,p80_90
5466,5,p80_90
15200,5,p80_90
3431,5,p80_90
14771,5,p80_90
5060,5,p80_90
5814,5,p80_90
4576,5,p80_90
8553,5,p80_90
10638,5,p80_90
4383,5,p80_90
15172,5,p80_90
5577,5,p80_90
8476,5,p80_90
11196,5,p80_90
6079,5,p80_90
11911,5,p80_90
7483,5,p80_90
5241,5,p80_90
9986,5,p80_90
12971,5,p80_90
11822,5,p80_90
11467,5,p80_90
13320,5,p80_90
15150,5,p80_90
12641,5,p80_90
5137,5,p80_90
6702,5,p80_90
4365,5,p80_90
9595,5,p80_90
14562,5,p80_90
12751,5,p80_90
22993,5,p90_100
23420,5,p90_100
18784,5,p90_100
16643,5,p90_100
19575,5,p90_100
17173,5,p90_100
21029,5,p90_100
17463,5,p90_100
15961,5,p90_100
22199,5,p90_100
24114,5,p90_100
22900,5,p90_100
16484,5,p90_100
22023,5,p90_100
15306,5,p90_100
23944,5,p90_100
19060,5,p90_100
23727,5,p90_100
19581,5,p90_100
16107,5,p90_100
19131,5,p90_100
25443,5,p90_100
18455,5,p90_100
21390,5,p90_100
24504,5,p90_100
23772,5,p90_100
19356,5,p90_100
22325,5,p90_100
16644,5,p90_100
19145,5,p90_100
16891,5,p90_100
22771,5,p90_100
20035,5,p90_100
21593,5,p90_100
17848,5,p90_100
21191,5,p90_100
23621,5,p90_100
25062,5,p90_100
20255,5,p90_100
23264,5,p90_100
19569,5,p90_100
19434,5,p90_100
19149,5,p90_100
23759,5,p90_100
22770,5,p90_100
20959,5,p90_100
17827,5,p90_100
18183,5,p90_100
24002,5,p90_100
17471,5,p90_100
23776,5,p90_100
15972,5,p90_100
17882,5,p90_100
24462,5,p90_100
19244,5,p90_100
17470,5,p90_100
26191,5,p90_100
19380,5,p90_100
20668,5,p90_100
21157,5,p90_100
21809,5,p90_100
18597,5,p90_100
18275,5,p90_100
15418,5,p90_100
19712,5,p90_100
23989,5,p90_100
18189,5,p90_100
16945,5,p90_100
19578,5,p90_100
17191,5,p90_100
18399,5,p90_100
23462,5,p90_100
17589,5,p90_100
18340,5,p90_100
17924,5,p90_100
21017,5,p90_100
22283,5,p90_100
17865,5,p90_100
20528,5,p90_100
15259,5,p90_100
19997,5,p90_100
17017,5,p90_100
15962,5,p90_100
25975,5,p90_100
22435,5,p90_100
18946,5,p90_100
25852,5,p90_100
24214,5,p90_100
23135,5,p90_100
24129,5,p90_100
22149,5,p90_100
19495,5,p90_100
21554,5,p90_100
22378,5,p90_100
19596,5,p90_100
19234,5,p90_100
23419,5,p90_100
15374,5,p90_100
16014,5,p90_100
17986,5,p90_100
